description,category
POLICYBAZAAR BILL PAYMENT BBPS,Insurance
CARD PURCHASE NBFC XXXX1465,EMI / Loans
GOOGLEPAY SENT TO MOM,Transfers
UPI/LOCAL/9205302146/Payment,Groceries
NEFT-AIRBNB-40355338,Travel
IMPS/P2A/1190790306/MUTUAL,Investments
NEFT-PRIME-59657569,Subscriptions
CARD PURCHASE MF XXXX4293,Investments
OYO HOTEL BOOKING PAYMENT,Travel
XBOX GAME PASS SUBSCRIPTION,Entertainment
UPI/AMAZON/9021962071/Payment,Shopping
POS 7131 TATA,Utilities
NEFT-BAJAJ-99552717,Insurance
UPGRAD COURSE FEE,Education
CARD PURCHASE SIP XXXX2535,Investments
HATHWAY BROADBAND PAYMENT,Utilities
CHAI ONLINE ORDER 150648,Food & Dining
HOSTEL BILL PAYMENT BBPS,Rent
UNACADEMY SUBSCRIPTION PLAN,Education
CARD PURCHASE BIGBASKET XXXX1983,Groceries
IMPS/P2A/0369003432/MAX,Insurance
TATA CAPITAL EMI PAYMENT,EMI / Loans
UPI-SHELL-IBL-XXXX4982,Transport
UPI-STEAM-OKAXIS-XXXX7859,Entertainment
MUTUAL ONLINE ORDER 738302,Investments
BOOKMYSHOW PVR CINEMA,Entertainment
CAFE BILL PAYMENT BBPS,Food & Dining
APOLLO PHARMACY MEDPLUS,Health
EMI BILL PAYMENT BBPS,EMI / Loans
PVR ONLINE ORDER 095431,Entertainment
FASTAG ONLINE ORDER 077848,Transport
LICIOUS ONLINE ORDER 318432,Groceries
TATASKY BILL PAYMENT BBPS,Utilities
YULU BIKE RENTAL,Transport
STAR BAZAAR GROCERY PURCHASE,Groceries
CARD PURCHASE PLAYSTATION XXXX5636,Entertainment
HOSPITAL BILL PAYMENT,Health
INCENTIVE PAYOUT SALES TEAM,Income
POS 5288 LIC,Insurance
THIRD WAVE COFFEE PAYMENT,Food & Dining
POS 1983 FASTAG,Transport
NEFT-MYNTRA-06239726,Shopping
NPS CONTRIBUTION MONTHLY,Investments
IMPS/P2A/1509839301/PG,Rent
SONYLIV ONLINE ORDER 775140,Subscriptions
MF ONLINE ORDER 039261,Investments
SBI LIFE PREMIUM AUTO DEBIT,Insurance
POS 6248 ZEPTO,Groceries
NESTAWAY MONTHLY RENT,Rent
UPI/RAPIDO/7169472256/Payment,Transport
BEHROUZ BILL PAYMENT BBPS,Food & Dining
NEFT-MEESHO-72625701,Shopping
IMPS/P2A/4661839826/UPI-SPOTIFY,Subscriptions
MPL BILL PAYMENT BBPS,Entertainment
UPI-AMAZON-OKAXIS,Shopping
UDEMY BILL PAYMENT BBPS,Education
POS 6234 MCDONALD,Food & Dining
DEBIT CARD ANNUAL FEE,Others
RELIANCE ONLINE ORDER 828410,Shopping
CAFE BILL PAYMENT BBPS,Food & Dining
NEFT PROCESSING CHARGES,Others
NEFT-TUITION-07412094,Education
SALARY CREDIT ZOHO CORP,Income
GO BILL PAYMENT BBPS,Insurance
CARD PURCHASE CAFE XXXX8548,Food & Dining
GOOGLEPAY SENT TO MOM,Transfers
POLICYBAZAAR PREMIUM PAYMENT,Insurance
POS 7251 ACT,Utilities
NEFT-CROMA-75670431,Shopping
IMPS/P2A/2459375265/PRIME,Subscriptions
HALDIRAM SWEETS PURCHASE,Food & Dining
UPI/GO/7947383473/Payment,Insurance
BURGER BILL PAYMENT BBPS,Food & Dining
INDANE GAS CYLINDER BOOKING,Utilities
IMPS/P2A/3514846853/1MG,Health
INTEREST CREDIT SAVINGS AC,Income
UPI/SHELL/1827448570/Payment,Transport
NEFT-PAYSENSE-31611724,EMI / Loans
JIOHOTSTAR BILL PAYMENT BBPS,Subscriptions
SPICEJET BILL PAYMENT BBPS,Travel
POS 1394 UNIVERSITY,Education
INDIGO BILL PAYMENT BBPS,Travel
POS 2581 LIFESTYLE,Shopping
ICICI PRU LIFE PREMIUM,Insurance
IMPS/P2A/3565880434/MILKBASKET,Groceries
FRESHMENU ORDER PAYMENT,Food & Dining
POS 1694 YULU,Transport
UPI/REDBUS/2346013673/Payment,Transport
IMPS/P2A/8519108839/FD,Investments
POS 1322 PHARMEASY,Health
NEFT-BITS-51017490,Education
RENTPAY CRED CARD RENT,Rent
SUBWAY SANDWICH ORDER,Food & Dining
SALARY CREDIT ACME TECH PVT LTD,Income
NEFT-COURSERA-16679984,Education
NEFT-NAMMA-34722820,Transport
CARD PURCHASE SUBWAY XXXX3756,Food & Dining
UPI/ICICI/5149368998/Payment,Insurance
CARD PURCHASE GROCERY XXXX8085,Groceries
UPI-UDEMY-OKBIZAXIS-XXXX4168,Education
PHONEPE SENT TO CONTACT,Transfers
FD RENEWAL AUTO SWEEP,Investments
COLLEGE FEE PAYMENT ONLINE,Education
SPENCERS RETAIL BILL,Groceries
UPI/CASHE/8233749894/Payment,EMI / Loans
EMI BAJAJ FINANCE CONSUMER DURABLE,EMI / Loans
POS 4130 MONEYTAP,EMI / Loans
BEHROUZ BIRYANI ORDER,Food & Dining
LOAN ONLINE ORDER 796405,EMI / Loans
NEFT-GOLDSGYM-43132912,Subscriptions
SONYLIV SUBSCRIPTION FEE,Subscriptions
GOOGLE BILL PAYMENT BBPS,Subscriptions
ADANI ELECTRICITY BILL PAYMENT,Utilities
METROPOLIS ONLINE ORDER 892613,Health
MAKEMYTRIP FLIGHT BOOKING,Travel
EASEMYTRIP TICKET PAYMENT,Travel
BLUSMART EV CAB PAYMENT,Transport
UPI-RAPIDO-YBL-XXXX5587,Transport
NATURES BASKET ORDER,Groceries
MAKEMYTRIP ONLINE ORDER 025662,Travel
MAGICBRICKS RENT PAYMENT SERVICE,Rent
UNIVERSITY EXAM FEE PAYMENT,Education
UPI/COURSERA/0793349605/Payment,Education
POS 6651 SONYLIV,Subscriptions
NEFT-ZEPTO-81128801,Groceries
PHONEPE SENT TO CONTACT,Transfers
CARD PURCHASE CASHE XXXX2047,EMI / Loans
AJIO ONLINE ORDER 686717,Shopping
GAMING ZONE PAYMENT,Entertainment
IMPS/P2A/4079056965/PHARMEASY,Health
CARD PURCHASE BAJAJ XXXX1998,Insurance
CASH DEPOSIT MACHINE TRANSACTION,Others
HDFC LIFE PREMIUM DEBIT,Insurance
UPI-AIR-OKAXIS-XXXX5024,Travel
UPI/D2H/6346157173/Payment,Utilities
VISTARA FLIGHT BOOKING,Travel
IMPS/P2A/6413836702/ANYTIME,Subscriptions
LOCKER RENT ANNUAL PAYMENT,Others
JIOHOTSTAR SUBSCRIPTION,Subscriptions
IMPS/P2A/5652704774/RESTAURANT,Food & Dining
POS 5698 BLUSMART,Transport
POS 7025 UPI-SWIGGY,Groceries
UPI/LIC/4310278681/Payment,Insurance
TDS REFUND ITR PROCESSED,Income
MINIMUM BALANCE CHARGES,Others
